trade_date,symbol,direction,entry_time,exit_time,entry_price,exit_price,qty,pnl,exit_reason,holding_minutes,entry_reason,door,move_age_min,volume_x,off_high_pct,run_up_pct,results_grade,news_kind,sector
2026-09-09,HBLENGINE,LONG,2026-09-09 09:18:07.285352,2026-09-09 09:42:12.000000,740.4,755.17,188,2776.7599999999966,BUYING_DRIED_UP,24.078577466666665,RANKED_SETUP,,,,,,MIXED,,CAPITAL GOODS
2026-09-09,NAVINFLUOR,LONG,2026-09-09 09:18:07.285352,2026-09-09 10:36:33.000000,8849.0,8853.57,17,77.68999999999505,BUYING_DRIED_UP,78.42857746666667,RANKED_SETUP,,,,,,STRONG,,CHEMICALS
2026-09-09,IKIO,LONG,2026-09-09 09:18:07.285352,2026-09-09 13:06:18.000000,222.9,222.7,448,-89.60000000000764,BUYING_DRIED_UP,228.17857746666667,RANKED_SETUP,,,,,,MIXED,,CONSUMER DURABLES
2026-09-09,KPEL,LONG,2026-09-09 09:18:07.285352,2026-09-09 15:03:32.000000,241.37,233.56,569,-4443.890000000001,MISSED_STOP_RECONCILED,345.41191080000004,RANKED_SETUP,,,,,,MIXED,ORDER,POWER & UTILITIES
2026-09-09,GRAPHITE,LONG,2026-09-09 09:36:37.772201,2026-09-09 09:51:37.000000,840.07,854.27,159,2257.7999999999893,BUYING_DRIED_UP,14.987129983333334,RANKED_SETUP,,,,,,MIXED,NEWS,METALS & MINING
2026-09-09,FERMENTA,LONG,2026-09-09 09:39:18.560042,2026-09-09 15:18:51.000000,501.65,492.11,385,-3672.899999999986,MANUAL_EXIT,339.54066596666667,RANKED_SETUP,,,,,,WEAK,NEWS,PHARMACEUTICALS
2026-09-09,GMMPFAUDLR,LONG,2026-09-09 09:42:13.268879,2026-09-09 14:18:50.000000,1339.07,1298.1,115,-4711.550000000003,TRAILING_STOP,276.61218535,RANKED_SETUP,,,,,,STRONG,,CAPITAL GOODS
2026-09-09,COALINDIA,LONG,2026-09-09 09:49:22.786031,2026-09-09 15:19:46.000000,434.42,429.64,493,-2356.5400000000145,MANUAL_EXIT,330.38689948333337,RANKED_SETUP,,,,,,MIXED,,METALS & MINING
2026-09-09,CHENNPETRO,LONG,2026-09-09 09:51:37.857539,2026-09-09 12:34:09.000000,1526.26,1598.2,61,4388.340000000004,MANUAL_EXIT,162.51904101666665,RANKED_SETUP,,,,,,MIXED,NEWS,OIL & GAS
2026-09-09,MRPL,LONG,2026-09-09 10:36:34.837879,2026-09-09 12:37:43.000000,179.1,185.59,708,4594.920000000006,MANUAL_EXIT,121.13603535,RANKED_SETUP,,,,,,,NEWS,OIL & GAS
2026-09-09,SHAREINDIA,LONG,2026-09-09 12:11:00.467600,2026-09-09 12:38:20.000000,181.61,184.81,562,1798.3999999999937,MANUAL_EXIT,27.32554,RANKED_SETUP,,,,,,,,FINANCIAL SERVICES
2026-09-09,HUHTAMAKI,LONG,2026-09-09 12:34:45.712282,2026-09-09 15:20:12.000000,264.63,266.92,468,1071.7200000000096,MANUAL_EXIT,165.43812863333332,RANKED_SETUP,,,,,,STRONG,,PAPER & PACKAGING
2026-09-09,ADANIPOWER,LONG,2026-09-09 12:38:06.720364,2026-09-09 15:21:16.000000,215.85,213.67,735,-1602.300000000005,MANUAL_EXIT,163.1546606,RANKED_SETUP,,,,,,STRONG,BROKER,POWER & UTILITIES
2026-09-09,PAISALO,LONG,2026-09-09 12:40:22.960521,2026-09-09 15:21:40.000000,80.46,79.89,1555,-886.3499999999894,MANUAL_EXIT,161.28399131666666,RANKED_SETUP,,,,,,,,FINANCIAL SERVICES
2026-09-09,SARDAEN,LONG,2026-09-09 13:06:19.773869,2026-09-09 14:21:14.000000,548.97,548.88,272,-24.48000000000866,BUYING_DRIED_UP,74.90376885,RANKED_SETUP,,,,,,MIXED,,METALS & MINING
2026-09-09,JSL,LONG,2026-09-09 14:18:52.265091,2026-09-09 15:21:46.000000,791.4,783.96,156,-1160.6399999999908,MANUAL_EXIT,62.89558181666666,RANKED_SETUP,,,,,,WEAK,,METALS & MINING
2026-09-09,ADANIPORTS,LONG,2026-09-09 14:21:16.403170,2026-09-09 15:22:21.000000,1782.39,1761.47,98,-2050.160000000007,MANUAL_EXIT,61.07661383333333,RANKED_SETUP,,,,,,GOOD,NEWS,INFRASTRUCTURE
2026-09-09,INDORAMA,LONG,2026-09-09 15:04:57.979544,2026-09-09 15:22:18.000000,86.87,85.5,963,-1319.3100000000045,MANUAL_EXIT,17.333674266666666,RANKED_SETUP,,,,,,MIXED,,TEXTILES & APPAREL
2026-09-10,DBL,LONG,2026-09-10 09:16:02.300601,2026-09-10 09:17:46.000000,436.22,428.79,351,-2607.9300000000026,MISSED_STOP_RECONCILED,1.7283233166666667,RANKED_SETUP,,,,,,WEAK,ORDER,INFRASTRUCTURE
2026-09-10,FCL,LONG,2026-09-10 09:16:49.999875,2026-09-10 09:32:06.000000,60.02,60.41,2021,788.1899999999868,BUYING_DRIED_UP,15.266668750000001,RANKED_SETUP,,,,,,,,CHEMICALS
2026-09-10,JINDWORLD,LONG,2026-09-10 09:16:49.999875,2026-09-10 10:11:46.000000,57.16,55.26,1460,-2773.9999999999977,TRAILING_STOP,54.933335416666665,RANKED_SETUP,,,,,,MIXED,,TEXTILES & APPAREL
2026-09-10,SHAKTIPUMP,LONG,2026-09-10 09:17:45.979617,2026-09-10 09:38:28.000000,521.46,504.3,267,-4581.720000000007,TRAILING_STOP,20.70033971666667,RANKED_SETUP,,,,,,GOOD,ORDER_WIN,CAPITAL GOODS
2026-09-10,63MOONS,LONG,2026-09-10 09:17:45.979617,2026-09-10 09:43:05.000000,888.25,898.65,112,1164.7999999999975,BUYING_DRIED_UP,25.317006383333332,RANKED_SETUP,,,,,,STRONG,,INFORMATION TECHNOLOGY
2026-09-10,SHAREINDIA,LONG,2026-09-10 09:17:45.979617,2026-09-10 09:46:00.000000,197.49,206.39,517,4601.299999999988,BUYING_DRIED_UP,28.23367305,RANKED_SETUP,,,,,,,,FINANCIAL SERVICES
2026-09-10,NOVARTIND,LONG,2026-09-10 09:18:51.533641,2026-09-10 09:34:05.000000,2296.15,2309.04,74,953.8599999999906,BUYING_DRIED_UP,15.224439316666666,RANKED_SETUP,,,,,,STRONG,,PHARMACEUTICALS
2026-09-10,TEGA,LONG,2026-09-10 09:34:06.060364,2026-09-10 09:55:36.000000,1756.88,1758.72,80,147.19999999999345,BUYING_DRIED_UP,21.498993933333335,RANKED_SETUP,,,,,,STRONG,,CAPITAL GOODS
2026-09-10,INOXINDIA,LONG,2026-09-10 09:38:28.496755,2026-09-10 10:36:13.000000,2259.8,2258.97,59,-48.97000000002254,BUYING_DRIED_UP,57.74172075,RANKED_SETUP,,,,,,STRONG,,CAPITAL GOODS
2026-09-10,MIDHANI,LONG,2026-09-10 09:50:50.355548,2026-09-10 10:23:20.000000,480.84,465.92,285,-4252.199999999988,TRAILING_STOP,32.4940742,RANKED_SETUP,,,,,,STRONG,,METALS & MINING
2026-09-10,ITDC,LONG,2026-09-10 09:56:54.438915,2026-09-10 10:26:20.000000,679.36,719.64,182,7330.9599999999955,BUYING_DRIED_UP,29.426018083333336,RANKED_SETUP,,,,,,WEAK,,HOSPITALITY & TOURISM
